name,actions
株式会社ＮＩＣＳ,当社の取り扱うRPAのうちSynchroidかAutomation Anywhereのどれか１種類を1つ、期間限定（３か月）ライセンスを無料提供。またロボットを１種類無料作成。
株式会社インターロジック,デジタル化促進のためのウェビナー開催
一般社団法人日本IT団体連盟,加盟団体の企画を取りまとめた情報発信
全国ソフトウェア協同組合連合会,JASPAとしては、まだこれからの検討となるが、１月に新春イベントの代替として行う新年特設ページ・５月のJASPAフェア・秋開催の会員組合主催のHISCOフォーラム、KT-NETフェスタなどが予定されており、これらの中でデジタルの人の連携プログラムを企画することが考えられる。
一般社団法人日本スマートフォンセキュリティ協会,安全なアプリ開発方法の啓発などスマートフォンのセキュリティに関するイベントで参加予定
一般財団法人インターネット協会,会員企業への事前告知及び、当協会Webサイトでの閲覧者への周知
株式会社ステップワールド,「デジタルの日」当日限定！自社ショッピングサイト「プレミアムショッピング」（http://wpets.jp/）ご利用時でポイント10倍付与
一般社団法人教育イノベーション協議会,デジタルの日と連動した、EdTechをテーマとするオンラインイベントの開催
（一社）情報処理学会,セミナーなど
株式会社グッドパッチ,デジタル化におけるデザインの重要性について認知向上・理解促進を目指し、デジタルの日の関連イベントなどで代表土屋が登壇
一般社団法人　コンピュータソフトウェア倫理機構,"①ダウンロード配信を行っているソフ倫の加盟会社様（賛助会員）にキャンペーンを実施していただく。 ②ソフ倫が協賛するクラウドファンディングサイトにて、デジタルの日にクラウドファンディングへの支援を行ったユーザー様に対して、先着1,000名様に電子マネーやポイントを付与する。 ※ソフ倫加盟会社大手3社に電子マネーやポイントの協賛を依頼 (1)アマゾンジャパン様（日本最大の通販サイト） (2)DMM.com様（日本最大のデジタルマーケット/ダウンロードサイト） (3)アニメイト様（アニメグッズ・ゲームソフト販売　※鬼滅の刃等）"
一般社団法人超人スポーツ協会,「超人スポーツEXPO 2021 〜 デジタルとスポーツの融合の祭典」 10月10日は 1964 東京オリンピックの開会式を記念し 体育の日であったことを鑑み、我々は10⽉10⽇という⽇付を固定して「スポーツ×デジタルの⽇」と捉えたい。 この記念⽇は、回顧するのみならず、未来に向けて新たなものを⽣みだす⽇である。 従来のスポーツを「三密」を防ぎつつ臨場感たっぷりに観戦できるVR/⼈間⽀援/拡張技術を⽤いた⼈機⼀体のスポーツや、ロボットコンテスト、各種プログラムコンテスト、 そしてコロナ禍で躍進が⽬覚ましいeスポーツが⼀堂に会するような、スポーツとデジタル社会の未来形を⽇本から世界に発信する祭典を企画する。
